PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	CAS	PUBCHEM	KEGG	HMDB
2103	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	Lipid	Plasmalogen	52748	LC/MS Pos Late	100009225	2633	728.55887				HMDB11376
2102	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	Lipid	Plasmalogen	52614	LC/MS Pos Late	100008919	2950	730.57452	144371-68-6			HMDB11375
2127	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	39271	LC/MS Pos Late	100003001	1649	466.3292				
4505	1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	48762	LC/MS Neg	100006374	1709	204.98123				
1720	1,2-dilinoleoyl-GPC (18:2/18:2)	Lipid	Phosphatidylcholine (PC)	52603	LC/MS Pos Late	100008903	2006	782.56944	998-06-1	5288075		HMDB08138
1786	1,2-dilinoleoyl-GPE (18:2/18:2)*	Lipid	Phosphatidylethanolamine (PE)	53174	LC/MS Pos Late	100009217	2083	740.52248		9546812		HMDB09093
1633	1,2-dipalmitoyl-GPC (16:0/16:0)	Lipid	Phosphatidylcholine (PC)	19130	LC/MS Pos Late	100000657	2365	734.56944	63-89-8	452110	D03585	HMDB00564
3552	1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	34404	LC/MS Neg	100001397	1985	209.06801	5415-44-1	79437	C16361	HMDB02123
3549	1,3-dimethylurate	Xenobiotics	Xanthine Metabolism	32391	LC/MS Neg	100001106	1671.4	195.05236	944-73-0	70346		HMDB01857
863	1,5-anhydroglucitol (1,5-AG)	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	20675	LC/MS Neg	100000580	802	163.06119	154-58-5	64960	C07326	HMDB02712
3655	1,6-anhydroglucose	Xenobiotics	Food Component/Plant	21049	LC/MS Neg	100000939	919.7	161.04554	498-07-7	2724705		HMDB00640
3550	1,7-dimethylurate	Xenobiotics	Xanthine Metabolism	34400	LC/MS Neg	100001399	1578.6	195.05236	33868-03-0	91611	C16356	HMDB11103
1113	10-heptadecenoate (17:1n7)	Lipid	Long Chain Fatty Acid	33971	LC/MS Neg	100001278	5555	267.23295	29743-97-3	5312435		HMDB60038
1124	10-nonadecenoate (19:1n9)	Lipid	Long Chain Fatty Acid	33972	LC/MS Neg	100001277	5780	295.26425	73033-09-7	5312513		HMDB13622
1100	10-undecenoate (11:1n1)	Lipid	Medium Chain Fatty Acid	32497	LC/MS Neg	100001197	5085.8	183.13905	1333-28-4	14891	C13910	HMDB33724
2542	11-ketoetiocholanolone glucuronide	Lipid	Steroid	47135	LC/MS Neg	100005402	4280	479.22865	17181-16-7			
1446	12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	38395	LC/MS Neg	62	5137	313.23843	263399-35-5	10236635	C14829	HMDB04705
1526	12-HHTrE	Lipid	Eicosanoid	57393	LC/MS Neg	1261	5175	279.19657	54397-84-1	5283141	C20388	HMDB12535
1425	13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	37752	LC/MS Neg	100002196	5275	295.22825		43013		
1428	14-HDoHE/17-HDoHE	Lipid	Fatty Acid, Monohydroxy	53034	LC/MS Neg	100009278	5296	343.22786				
2485	16a-hydroxy DHEA 3-sulfate	Lipid	Steroid	38168	LC/MS Neg	100002126	4240	383.15338				
1421	16-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	39609	LC/MS Neg	100002953	5236.2	271.22786	506-13-8	10466	C18218	HMDB06294
2452	17alpha-hydroxypregnenolone 3-sulfate	Lipid	Steroid	37482	LC/MS Neg	100002128	4800	411.18468	28901-70-4	152971		HMDB00416
1222	17-methylstearate	Lipid	Fatty Acid, Branched	38296	LC/MS Neg	100002356	5993	297.2799	2724-59-6	3083779		HMDB37397
1903	1-arachidonoyl-GPA (20:4)	Lipid	Lysophospholipid	46325	LC/MS Neg	100004442	5499	457.23606	799268-65-8			
1938	1-arachidonoyl-GPC (20:4n6)*	Lipid	Lysophospholipid	33228	LC/MS Pos Late	100001551	1460	544.33977			C05208	HMDB10395
1970	1-arachidonoyl-GPE (20:4n6)*	Lipid	Lysophospholipid	35186	LC/MS Pos Late	100001571	1470	502.29282		42607465		HMDB11517
2001	1-arachidonoyl-GPI (20:4)*	Lipid	Lysophospholipid	34214	LC/MS Neg	100001654	5482	619.28888				HMDB61690
2150	1-arachidonylglycerol (20:4)	Lipid	Monoacylglycerol	34397	LC/MS Neg	100001433	6250	303.23293	35474-99-8	5282281	C13857	HMDB11549
2149	1-dihomo-linolenylglycerol (20:3)	Lipid	Monoacylglycerol	48341	LC/MS Neg	100006121	6400	305.24858				
2151	1-eicosapentaenoylglycerol (20:5)*	Lipid	Monoacylglycerol	53220	LC/MS Neg	100009403	5988	301.21728				HMDB11580
4056	1-hydroxy-2-naphthalenecarboxylate	Xenobiotics	Drug	38140	LC/MS Neg	100002394	3930	187.04006	86-48-6	6844	C03203	
1949	1-lignoceroyl-GPC (24:0)	Lipid	Lysophospholipid	49617	LC/MS Pos Late	100002873	1907	608.46497	325171-59-3			HMDB10405
2146	1-linolenoylglycerol (18:3)	Lipid	Monoacylglycerol	34393	LC/MS Neg	100001435	6214	277.21728	124151-74-2	53480978		HMDB11569
1924	1-linolenoyl-GPC (18:3)*	Lipid	Lysophospholipid	45951	LC/MS Pos Late	100005350	1422	518.32412				HMDB10388
1736	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	Lipid	Phosphatidylcholine (PC)	52710	LC/MS Pos Late	100009131	1969	806.56944				HMDB08147
1721	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	Lipid	Phosphatidylcholine (PC)	53176	LC/MS Pos Late	100009343	1939	780.55378				HMDB08141
2145	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	27447	LC/MS Neg	100001040	6477	279.23293	2277-28-3	5283469		
1901	1-linoleoyl-GPA (18:2)*	Lipid	Lysophospholipid	52690	LC/MS Neg	100009082	5483	433.23606				HMDB07856
1922	1-linoleoyl-GPC (18:2)	Lipid	Lysophospholipid	34419	LC/MS Pos Late	100001395	1465	520.33977		11988421	C04100	HMDB10386
1963	1-linoleoyl-GPE (18:2)*	Lipid	Lysophospholipid	36600	LC/MS Pos Late	100001570	1482	478.29282		52925130		HMDB11507
1989	1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	54885	LC/MS Neg	100009227	5516	507.27284				
1997	1-linoleoyl-GPI (18:2)*	Lipid	Lysophospholipid	36594	LC/MS Neg	100001778	5494	595.28888				
3226	N1-methyladenosine	Nucleotide	Purine Metabolism, Adenine containing	15650	LC/MS Pos Early	1242	2120	282.11969	15763-06-1	27476	C02494	HMDB03331
63	1-methylhistidine	Amino Acid	Histidine Metabolism	30460	LC/MS Pos Early	100001051	2755	170.09241	332-80-9	92105	C01152	HMDB00001
77	1-methylimidazoleacetate	Amino Acid	Histidine Metabolism	32350	LC/MS Pos Early	100001208	2064	141.06586	2625-49-2	75810	C05828	HMDB02820
3357	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	27665	LC/MS Pos Early	55	1940	137.07094	1005-24-9	10129985	C02918	HMDB00699
3547	1-methylurate	Xenobiotics	Xanthine Metabolism	34395	LC/MS Pos Early	100001400	1461	183.05127	708-79-2	69726	C16359	HMDB03099
3553	1-methylxanthine	Xenobiotics	Xanthine Metabolism	34389	LC/MS Neg	100001405	1568.8	165.0418	6136-37-4	80220	C16358	HMDB10738
2137	1-myristoylglycerol (14:0)	Lipid	Monoacylglycerol	35625	LC/MS Neg	100001618	6353.3	227.20163	75685-84-6	79050	C01885	HMDB11561
1718	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	Lipid	Phosphatidylcholine (PC)	52453	LC/MS Pos Late	100008981	2165	784.58509				
1785	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	Lipid	Phosphatidylethanolamine (PE)	52687	LC/MS Pos Late	100009078	2270	742.53813		9546753		HMDB05349
2144	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21184	LC/MS Neg	100000924	6650	281.24858	111-03-5	5283468		HMDB11567
1900	1-oleoyl-GPA (18:1)	Lipid	Lysophospholipid	36812	LC/MS Neg	100001671	5615	435.25171	325465-93-8	5497152		
1919	1-oleoyl-GPC (18:1)	Lipid	Lysophospholipid	48258	LC/MS Pos Late	100001272	1540	522.35542	19420-56-5	16081932		HMDB02815
1961	1-oleoyl-GPE (18:1)	Lipid	Lysophospholipid	35628	LC/MS Pos Late	100001569	1554	480.30847	89576-29-4	9547071		HMDB11506
1995	1-oleoyl-GPI (18:1)*	Lipid	Lysophospholipid	36602	LC/MS Neg	100001777	5599	597.30453				
1663	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	Lipid	Phosphatidylcholine (PC)	53180	LC/MS Pos Late	100009345	1850	754.53813				HMDB08008
2141	1-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	52431	LC/MS Neg	100008952	6094	253.21727				HMDB11565
1912	1-palmitoleoyl-GPC (16:1)*	Lipid	Lysophospholipid	33230	LC/MS Pos Late	100001511	1450	494.32412		24779461		HMDB10383
1677	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	Lipid	Phosphatidylcholine (PC)	52462	LC/MS Pos Late	100008914	2091	782.56944	35418-58-7	10747814		HMDB07982
1770	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	Lipid	Phosphatidylethanolamine (PE)	52464	LC/MS Pos Late	100008990	2198	740.52248		9546800		HMDB05323
1864	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	Lipid	Phosphatidylinositol (PI)	52467	LC/MS Pos Late	100008993	2567	876.55966				HMDB09789
1648	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Lipid	Phosphatidylcholine (PC)	42446	LC/MS Pos Late	1537	2160	758.56944	40811-94-7	5287971		HMDB07973
1761	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	Lipid	Phosphatidylethanolamine (PE)	42449	LC/MS Pos Late	100001870	2275	716.52248		9546747		HMDB05322
1859	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	Lipid	Phosphatidylinositol (PI)	52450	LC/MS Pos Late	1528	2730	852.55966				HMDB09784
1642	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Lipid	Phosphatidylcholine (PC)	52461	LC/MS Pos Late	1539	2358	760.58509	26853-31-6;26853-31-6	6436017		HMDB07972
1760	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	19263	LC/MS Pos Late	1526	2509	718.53813	26662-94-2	5283496		HMDB05320
1856	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	Lipid	Phosphatidylinositol (PI)	52669	LC/MS Pos Late	100009066	3140	854.57531				HMDB09783
1635	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	Lipid	Phosphatidylcholine (PC)	52470	LC/MS Pos Late	100008984	2160	732.55378				HMDB07969
1638	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	Lipid	Phosphatidylcholine (PC)	52616	LC/MS Pos Late	100008921	2653	762.60074	59403-51-9			HMDB07970
2140	1-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	21127	LC/MS Neg	100000827	6550	255.23293	542-44-9	14900		HMDB31074
1897	1-palmitoyl-GPA (16:0)	Lipid	Lysophospholipid	34428	LC/MS Neg	100001445	5600	409.23606	17618-08-5	6419701	C04036	HMDB00327
1910	1-palmitoyl-GPC (16:0)	Lipid	Lysophospholipid	33955	LC/MS Pos Late	100001263	1525	496.33977	17364-16-8	86554		HMDB10382
1954	1-palmitoyl-GPE (16:0)	Lipid	Lysophospholipid	35631	LC/MS Pos Late	100001567	1544	454.29282	53862-35-4	9547069		HMDB11503
1983	1-palmitoyl-GPG (16:0)*	Lipid	Lysophospholipid	45970	LC/MS Neg	100005717	5570	483.27284		3300276		
1990	1-palmitoyl-GPI (16:0)	Lipid	Lysophospholipid	35305	LC/MS Neg	100001655	5564	571.28888				HMDB61695
2139	1-pentadecanoylglycerol (15:0)	Lipid	Monoacylglycerol	47898	LC/MS Neg	100001431	6200	241.21728	104140-07-0	190750		
1728	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	Lipid	Phosphatidylcholine (PC)	42450	LC/MS Pos Late	100001869	2300	810.60074	35418-59-8	16219824		HMDB08048
1794	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	Lipid	Phosphatidylethanolamine (PE)	52447	LC/MS Pos Late	100008977	2424	768.55378		5289133		HMDB09003
1888	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Lipid	Phosphatidylinositol (PI)	52449	LC/MS Pos Late	100000616	3000	904.59096	383907-33-3			HMDB09815
1833	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	Lipid	Phosphatidylserine (PS)	52235	LC/MS Pos Late	100001872	2565	812.54361				HMDB12383
1712	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Lipid	Phosphatidylcholine (PC)	52452	LC/MS Pos Late	100008980	2380	786.60074				HMDB08039
1781	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	Lipid	Phosphatidylethanolamine (PE)	52446	LC/MS Pos Late	100008976	2522	744.55378		9546749		HMDB08994
1871	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	Lipid	Phosphatidylinositol (PI)	52468	LC/MS Pos Late	100008994	3185	880.59096				HMDB09809
1706	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Lipid	Phosphatidylcholine (PC)	52438	LC/MS Pos Late	100008904	2644	788.61639	56421-10-4			HMDB08038
1775	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	42448	LC/MS Pos Late	100001856	2858	746.56944				HMDB08993
1870	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	Lipid	Phosphatidylinositol (PI)	52726	LC/MS Pos Late	100009181	3711	882.60661				
1828	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	Lipid	Phosphatidylserine (PS)	19265	LC/MS Pos Late	100000639	3000	790.55926		9547087		HMDB10163
1917	1-stearoyl-GPC (18:0)	Lipid	Lysophospholipid	33961	LC/MS Pos Late	100001271	1606	524.37107	19420-57-6	497299		HMDB10384
1959	1-stearoyl-GPE (18:0)	Lipid	Lysophospholipid	42398	LC/MS Pos Late	100001461	1626	482.32412	69747-55-3	9547068		HMDB11130
1985	1-stearoyl-GPG (18:0)	Lipid	Lysophospholipid	34437	LC/MS Neg	100001462	5816	511.30414				
1993	1-stearoyl-GPI (18:0)	Lipid	Lysophospholipid	19324	LC/MS Neg	100000656	5794.3	599.32018	796963-93-4			HMDB61696
1978	1-stearoyl-GPS (18:0)*	Lipid	Lysophospholipid	45966	LC/MS Neg	100004327	5800	524.29939		9547101		
305	2,3-dihydroxy-2-methylbutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	57547	LC/MS Neg	100010869	787	133.05063	14868-24-7	301941		HMDB29576
3658	2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant	38276	LC/MS Polar	100002417	1050	133.05063	1756-18-9	677	C04039	HMDB12141
2444	21-hydroxypregnenolone disulfate	Lipid	Steroid	46115	LC/MS Neg	100001999	3935	245.06711	1164-98-3	134595		
2441	21-hydroxypregnenolone monosulfate (1)	Lipid	Steroid	37174	LC/MS Neg	100002003	4624	411.18468	88378-34-1	174681		
2442	21-hydroxypregnenolone monosulfate (2)	Lipid	Steroid	37175	LC/MS Neg	100002004	4711	411.18468		10670474		
4288	2-acetamidophenol sulfate	Xenobiotics	Drug	48580	LC/MS Neg	100006190	2251	230.01286	40712-60-5	181671		
95	2-aminoadipate	Amino Acid	Lysine Metabolism	6146	LC/MS Polar	381	3500	160.06153	542-32-5;1118-90-7	469	C00956	HMDB00510
411	2-aminobutyrate	Amino Acid	Glutathione Metabolism	42374	LC/MS Pos Early	1128	2059	104.07061	1492-24-6	439691	C02261	HMDB00650
1290	2-aminoheptanoate	Lipid	Fatty Acid, Amino	43761	LC/MS Pos Early	100004542	3160	146.11756	1115-90-8	227939		
1295	2-aminooctanoate	Lipid	Fatty Acid, Amino	43343	LC/MS Pos Late	100004227	750	160.13321	644-90-6	69522		HMDB00991
4405	2-aminophenol sulfate	Xenobiotics	Chemical	43266	LC/MS Neg	100004322	1677	188.0023		181670		HMDB61116
2160	2-arachidonoylglycerol (20:4)	Lipid	Monoacylglycerol	19266	LC/MS Neg	100000584	6170	303.23293	53847-30-6	5282280	C13856	HMDB04666
3301	2'-deoxyuridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	1412	LC/MS Neg	536	1586	111.01997	951-78-0	13712	C00526	HMDB00012
300	2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	36746	LC/MS Neg	100001541	1800	131.07136	488-15-3	164623		HMDB00317
4038	2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug	33173	LC/MS Neg	100001791	1674	246.00778		86290013		
1240	2-hydroxyadipate	Lipid	Fatty Acid, Dicarboxylate	31934	LC/MS Polar	100001153	3000	161.04554	18294-85-4	193530	C02360	HMDB00321
413	2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	52281	LC/MS Polar	100008928	1258	103.04006				
1397	2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	42489	LC/MS Neg	100004089	4840	187.13396	5393-81-7	21488		
1236	2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate	52294	LC/MS Pos Early	100002070	958	166.071	40951-21-1	43	C02630	HMDB00606
3462	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	18281	LC/MS Polar	1869	1123.9	194.04588	487-54-7	10253	C07588	HMDB00840
4050	2-hydroxyibuprofen	Xenobiotics	Drug	43330	LC/MS Neg	100004169	3462	221.11831	51146-55-5	10443535		HMDB60920
1396	2-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22036	LC/MS Neg	100000743	3736.8	159.10266	617-73-2	94180		HMDB02264
1400	2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	35675	LC/MS Neg	100001579	5511.2	271.22786	764-67-0	92836		HMDB31057
168	2-hydroxyphenylacetate	Amino Acid	Tyrosine Metabolism	1432	LC/MS Polar	235	858.6	151.04006	614-75-5	11970	C05852	HMDB00669
1401	2-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	17945	LC/MS Neg	1239	5695	299.25917	629-22-1	69417	C03045	
3665	2-isopropylmalate	Xenobiotics	Food Component/Plant	15667	LC/MS Polar	100000409	2605	175.06119	3237-44-3	77	C02504	HMDB00402
3935	2-keto-3-deoxy-gluconate	Xenobiotics	Food Component/Plant	48141	LC/MS Polar	100005946	1900	177.04046	17510-99-5	161227	C00204	HMDB01353
2159	2-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	32506	LC/MS Neg	100000987	6250	279.23293	3443-82-1	5365676		HMDB11538
4046	2-methoxyacetaminophen glucuronide*	Xenobiotics	Drug	33161	LC/MS Neg	100001795	1633	356.0987		14367271		
4039	2-methoxyacetaminophen sulfate*	Xenobiotics	Drug	47031	LC/MS Neg	100001793	1949	260.02343		86290014		
4506	2-methoxyresorcinol sulfate	Xenobiotics	Chemical	48445	LC/MS Neg	100006184	1863	218.99688	1446269-78-8			
282	2-methylbutyrylcarnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	45095	LC/MS Pos Early	100001509	3035	246.16999	31023-25-3	6426901		HMDB00378
283	2-methylbutyrylglycine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	31928	LC/MS Pos Early	100001155	2000	160.09682	52320-67-9	193872		HMDB00339
1075	2-methylcitrate/homocitrate	Energy	TCA Cycle	52282	LC/MS Neg	100008929	575	205.03538				
15	2-methylserine	Amino Acid	Glycine, Serine and Threonine Metabolism	53229	LC/MS Pos Early	100009246	1652	120.06552		94309	C02115	
2154	2-myristoylglycerol (14:0)	Lipid	Monoacylglycerol	34383	LC/MS Neg	100001408	6230	227.20163	27214-38-6	137938		HMDB11530
2158	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21232	LC/MS Neg	100000943	6500	281.24858	3443-84-3	5319879		HMDB11537
3325	2'-O-methylcytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	57554	LC/MS Pos Early	100010895	2411	258.10845	2140-72-9	150971		
3289	2'-O-methyluridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	57655	LC/MS Neg	100010896	1831	257.07791	2140-76-3	102212		
3666	2-oxindole-3-acetate	Xenobiotics	Food Component/Plant	40479	LC/MS Pos Early	100003109	2378	192.06552	2971-31-5	3080590		HMDB35514
350	2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	55072	LC/MS Pos Early	100002784	1760	174.08732	04/10/3715	558	C03771	HMDB04225
2156	2-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	52432	LC/MS Neg	100008953	6016	253.21727				HMDB11565
1913	2-palmitoleoyl-GPC (16:1)*	Lipid	Lysophospholipid	35819	LC/MS Pos Late	100001561	1425	494.32412				HMDB10383
1911	2-palmitoyl-GPC (16:0)*	Lipid	Lysophospholipid	35253	LC/MS Neg	100001562	6215	570.34125		15061532		HMDB61702
3572	2-piperidinone	Xenobiotics	Food Component/Plant	43400	LC/MS Pos Early	100004295	1675	100.07569	675-20-7	12665		HMDB11749
1960	2-stearoyl-GPE (18:0)*	Lipid	Lysophospholipid	41220	LC/MS Neg	100003901	6350	480.30956				HMDB11129
3539	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	35635	LC/MS Neg	100001624	1980	165.05571	621-54-5	91	C11457	HMDB00375
3536	3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	Benzoate Metabolism	45415	LC/MS Neg	100005391	1294	245.01253	86321-32-6	187488		
134	3-(4-hydroxyphenyl)lactate	Amino Acid	Tyrosine Metabolism	32197	LC/MS Neg	240	1379	181.05063	6482-98-0	9378	C03672	HMDB00755
4040	3-(cystein-S-yl)acetaminophen*	Xenobiotics	Drug	34365	LC/MS Pos Early	100001797	2420	271.07471		5233914		
4041	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	Drug	45721	LC/MS Neg	2048	2094	311.07072	52372-86-8	83967		
3958	3,4-methyleneheptanoate	Xenobiotics	Food Component/Plant	53026	LC/MS Neg	100006651	3807	141.0921				
1351	3,4-methyleneheptanoylcarnitine	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	52929	LC/MS Neg	100009234	4096	346.18712				
3551	3,7-dimethylurate	Xenobiotics	Xanthine Metabolism	34399	LC/MS Neg	100001398	1418.2	195.05236	13087-49-5	83126	C16360	HMDB01982
4403	3-acetylphenol sulfate	Xenobiotics	Chemical	48693	LC/MS Neg	100004326	2477	215.00196				
3337	3-aminoisobutyrate	Nucleotide	Pyrimidine Metabolism, Thymine containing	1566	LC/MS Pos Early	1114	2190	104.07061	10569-72-9;214139-20-5	64956	C05145	HMDB03911
2401	3beta,7alpha-dihydroxy-5-cholestenoate	Lipid	Sterol	36803	LC/MS Neg	100001611	5275	431.31668	115538-84-6	3081084	C17335	
2402	3beta-hydroxy-5-cholestenoate	Lipid	Sterol	54805	LC/MS Neg	100006370	5398	415.32177	6561-58-6	165511	C17333	
2626	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	43507	LC/MS Neg	100004182	5205	373.27482	5255-17-4	92997		HMDB00308
1259	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	Fatty Acid, Dicarboxylate	31787	LC/MS Neg	100001178	2840	239.09249	86879-39-2	123979		HMDB61112
287	3-hydroxy-2-ethylpropionate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	32397	LC/MS Neg	100001170	975	117.05571	4374-62-3	188979		HMDB00396
2375	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	531	LC/MS Polar	112	2850	161.04555	503-49-1	1662	C03761	HMDB00355
1382	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	542	LC/MS Polar	254	1475	103.04007	625-72-9	441	C01089	HMDB00357
1328	3-hydroxybutyrylcarnitine (1)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	43264	LC/MS Pos Early	100003926	2400	248.14925		53481617		HMDB13127
1329	3-hydroxybutyrylcarnitine (2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	52984	LC/MS Pos Early	100009271	2340	248.14925				HMDB13127
1407	3-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	22053	LC/MS Neg	100000997	4634.7	187.13396	5561-87-5	26612		HMDB02203
1405	3-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	53230	LC/MS Neg	100006367	1725	131.07136	10191-24-9	151492		
3463	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	39600	LC/MS Neg	100002122	1687	194.04588	1637-75-8	450268		HMDB06116
