COMPID	CHEMNAME	CHEMPATH
34109	metoprolol acid metabolite*	Drug
38002	1,2-propanediol	Chemical
32346	glycochenodeoxycholate	Primary Bile Acid Metabolism
48182	myristoleoylcarnitine (C14:1)*	Fatty Acid Metabolism(Acyl Carnitine)
27531	hyodeoxycholate	Secondary Bile Acid Metabolism
36099	4-ethylphenylsulfate	Benzoate Metabolism
605	uracil	Pyrimidine Metabolism, Uracil containing
21127	1-palmitoylglycerol (16:0)	Monoacylglycerol
36103	p-cresol sulfate	Benzoate Metabolism
18369	gamma-glutamylleucine	Gamma-glutamyl Amino Acid
37538	15-HETE	Eicosanoid
31591	androsterone sulfate	Steroid
32418	myristoleate (14:1n5)	Long Chain Fatty Acid
35130	N4-acetylcytidine	Pyrimidine Metabolism, Cytidine containing
57516	cerotoylcarnitine (C26)*	Fatty Acid Metabolism(Acyl Carnitine)
1505	orotate	Pyrimidine Metabolism, Orotate containing
57515	lignoceroylcarnitine (C24)*	Fatty Acid Metabolism(Acyl Carnitine)
44664	glutarylcarnitine (C5-DC)	Lysine Metabolism
46325	1-arachidonoyl-GPA (20:4)	Lysophospholipid
57691	trazadone	Drug
32455	linoleamide (18:2n6)	Fatty Acid, Amide
43802	guanidinoacetate	Creatine Metabolism
49617	1-lignoceroyl-GPC (24:0)	Lysophospholipid
32197	3-(4-hydroxyphenyl)lactate	Tyrosine Metabolism
57416	N-palmitoyl-sphingadienine (d18:2/16:0)*	Sphingolipid Metabolism
33950	N-acetylphenylalanine	Phenylalanine Metabolism
55017	4-hydroxyphenylacetylglutamine	Acetylated Peptides
1336	palmitate (16:0)	Long Chain Fatty Acid
27718	creatine	Creatine Metabolism
52682	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	Plasmalogen
34424	5-acetylamino-6-amino-3-methyluracil	Xanthine Metabolism
37478	docosapentaenoate (n6 DPA; 22:5n6)	Polyunsaturated Fatty Acid (n3 and n6)
37459	ergothioneine	Food Component/Plant
31889	taurolithocholate	Secondary Bile Acid Metabolism
5983	corticosterone	Steroid
32445	3-methylxanthine	Xanthine Metabolism
44618	3-methoxytyramine sulfate	Tyrosine Metabolism
38366	ibuprofen acyl glucuronide	Drug
32984	N-alpha-acetylornithine	Urea cycle; Arginine and Proline Metabolism
57479	sphingomyelin (d18:2/24:2)*	Sphingolipid Metabolism
33972	10-nonadecenoate (19:1n9)	Long Chain Fatty Acid
35728	1,3-dipalmitoylglycerol	Diacylglycerol
37445	4-hydroxycoumarin	Drug
42574	glycohyocholate	Secondary Bile Acid Metabolism
38399	9,10-DiHOME	Fatty Acid, Dihydroxy
32620	glycolithocholate sulfate*	Secondary Bile Acid Metabolism
40475	valylglycine	Dipeptide
36600	1-linoleoyl-GPE (18:2)*	Lysophospholipid
40499	4-hydroxyglutamate	Glutamate Metabolism
54805	3beta-hydroxy-5-cholestenoate	Sterol
35678	hexadecanedioate	Fatty Acid, Dicarboxylate
21294	estriol 3-sulfate	Steroid
44681	palmitoylcarnitine (C16)	Fatty Acid Metabolism(Acyl Carnitine)
52437	sphingomyelin (d18:2/24:1, d18:1/24:2)*	Sphingolipid Metabolism
57547	2,3-dihydroxy-2-methylbutyrate	Leucine, Isoleucine and Valine Metabolism
38160	hydroquinone beta-D-glucopyranoside	Food Component/Plant
575	arabinose	Pentose Metabolism
48130	N6-succinyladenosine	Purine Metabolism, Adenine containing
37209	androstenediol (3alpha, 17alpha) monosulfate (3)	Steroid
32401	trigonelline (N'-methylnicotinate)	Nicotinate and Nicotinamide Metabolism
57474	sphingomyelin (d18:2/18:1)*	Sphingolipid Metabolism
54762	lamotrigine	Drug
1519	sucrose	Disaccharides and Oligosaccharides
43829	gamma-glutamylvaline	Gamma-glutamyl Amino Acid
528	alpha-ketoglutarate	TCA Cycle
44878	methionine sulfone	Methionine, Cysteine, SAM and Taurine Metabolism
53176	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	Phosphatidylcholine (PC)
44675	docosahexaenoate (DHA; 22:6n3)	Polyunsaturated Fatty Acid (n3 and n6)
1512	picolinate	Tryptophan Metabolism
15667	2-isopropylmalate	Food Component/Plant
47886	bilirubin (E,Z or Z,E)*	Hemoglobin and Porphyrin Metabolism
46342	leukotriene B5	Eicosanoid
15677	3-methylhistidine	Histidine Metabolism
35107	isovalerylglycine	Leucine, Isoleucine and Valine Metabolism
34437	1-stearoyl-GPG (18:0)	Lysophospholipid
22030	2-hydroxyisobutyrate	Chemical
41375	tyrosylglycine	Dipeptide
1827	riboflavin (Vitamin B2)	Riboflavin Metabolism
2772	topiramate	Drug
39511	campesterol	Sterol
594	nicotinamide	Nicotinate and Nicotinamide Metabolism
48187	N-acetyltaurine	Methionine, Cysteine, SAM and Taurine Metabolism
54979	N-stearoyl-sphingosine (d18:1/18:0)*	Ceramides
57473	sphingomyelin (d18:0/18:0, d19:0/17:0)*	Sphingolipid Metabolism
57463	linoleoylcholine*	Fatty Acid Metabolism (Acyl Choline)
34093	hyocholate	Secondary Bile Acid Metabolism
531	3-hydroxy-3-methylglutarate	Mevalonate Metabolism
41370	phenylalanylglycine	Dipeptide
37033	carbamazepine	Drug
15747	anserine	Dipeptide Derivative
22206	theanine	Food Component/Plant
38296	17-methylstearate	Fatty Acid, Branched
33934	gamma-glutamyl-epsilon-lysine	Gamma-glutamyl Amino Acid
47132	5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate	Steroid
1549	3-hydroxyisobutyrate	Leucine, Isoleucine and Valine Metabolism
12032	4-acetamidophenol	Drug
37190	5alpha-androstan-3beta,17beta-diol disulfate	Steroid
35482	2-methylmalonyl carnitine	Fatty Acid Synthesis
52960	aripiprazole	Drug
33961	1-stearoyl-GPC (18:0)	Lysophospholipid
52966	azithromycin	Drug
36746	2-hydroxy-3-methylvalerate	Leucine, Isoleucine and Valine Metabolism
46142	mannitol/sorbitol	Fructose, Mannose and Galactose Metabolism
38658	atenolol	Drug
34397	1-arachidonylglycerol (20:4)	Monoacylglycerol
54955	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*	Diacylglycerol
15705	cystathionine	Methionine, Cysteine, SAM and Taurine Metabolism
46301	9-HETE	Eicosanoid
33939	N-acetylthreonine	Glycine, Serine and Threonine Metabolism
38395	12,13-DiHOME	Fatty Acid, Dihydroxy
57635	carotene diol (1)	Food Component/Plant
18245	gamma-glutamylhistidine	Gamma-glutamyl Amino Acid
41397	(15:2)-anacardic acid	Food Component/Plant
60	leucine	Leucine, Isoleucine and Valine Metabolism
57595	glycosyl ceramide (d18:1/20:0, d16:1/22:0)*	Ceramides
44877	N-palmitoyl-sphingosine (d18:1/16:0)	Ceramides
34409	stearoylcarnitine (C18)	Fatty Acid Metabolism(Acyl Carnitine)
3127	hypoxanthine	Purine Metabolism, (Hypo)Xanthine/Inosine containing
35718	dihomo-linolenate (20:3n3 or n6)	Polyunsaturated Fatty Acid (n3 and n6)
11953	1,2-dipalmitoylglycerol	Diacylglycerol
37059	malonylcarnitine	Fatty Acid Synthesis
53261	arachidonoylcholine	Fatty Acid Metabolism (Acyl Choline)
38669	diphenhydramine	Drug
54736	phenylacetylmethionine	Acetylated Peptides
53	glutamine	Glutamate Metabolism
35137	N2,N2-dimethylguanosine	Purine Metabolism, Guanine containing
33941	decanoylcarnitine (C10)	Fatty Acid Metabolism(Acyl Carnitine)
38167	11-ketoetiocholanolone sulfate	Steroid
1571	estrone	Steroid
33364	gamma-glutamylthreonine	Gamma-glutamyl Amino Acid
555	adenosine	Purine Metabolism, Adenine containing
48351	N1-methylinosine	Purine Metabolism, (Hypo)Xanthine/Inosine containing
37203	androstenediol (3beta,17beta) disulfate (2)	Steroid
32306	trans-4-hydroxyproline	Urea cycle; Arginine and Proline Metabolism
569	caffeine	Xanthine Metabolism
21025	iminodiacetate (IDA)	Chemical
57668	dexlansoprazole	Drug
36752	N6-acetyllysine	Lysine Metabolism
34035	linolenate [alpha or gamma; (18:3n3 or 6)]	Polyunsaturated Fatty Acid (n3 and n6)
36850	taurolithocholate 3-sulfate	Secondary Bile Acid Metabolism
1648	serine	Glycine, Serine and Threonine Metabolism
57393	12-HHTrE	Eicosanoid
12067	undecanoate (11:0)	Medium Chain Fatty Acid
35133	N2-methylguanosine	Purine Metabolism, Guanine containing
57577	isoursodeoxycholate	Secondary Bile Acid Metabolism
57659	N-palmitoylserine	Endocannabinoid
37506	palmitoyl sphingomyelin (d18:1/16:0)	Sphingolipid Metabolism
37211	androstenediol (3beta,17beta) monosulfate (1)	Steroid
1670	urea	Urea cycle; Arginine and Proline Metabolism
22163	EDTA	Chemical
32391	1,3-dimethylurate	Xanthine Metabolism
54956	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*	Diacylglycerol
52432	2-palmitoleoylglycerol (16:1)*	Monoacylglycerol
32504	docosapentaenoate (n3 DPA; 22:5n3)	Polyunsaturated Fatty Acid (n3 and n6)
39609	16-hydroxypalmitate	Fatty Acid, Monohydroxy
15745	methylsuccinate	Leucine, Isoleucine and Valine Metabolism
48841	p-cresol-glucuronide*	Tyrosine Metabolism
37056	carbamazepine glucuronide*	Drug
54942	palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*	Diacylglycerol
39994	valylleucine	Dipeptide
48493	sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	Sphingolipid Metabolism
36848	3-ethylphenylsulfate	Benzoate Metabolism
52615	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	Sphingolipid Metabolism
57476	sphingomyelin (d18:0/20:0, d16:0/22:0)*	Sphingolipid Metabolism
40406	trimethylamine N-oxide	Phospholipid Metabolism
15806	maltose	Glycogen Metabolism
37076	N-acetylserine	Glycine, Serine and Threonine Metabolism
52285	oleate/vaccenate (18:1)	Long Chain Fatty Acid
15679	xanthurenate	Tryptophan Metabolism
37499	p-toluic acid	Chemical
52925	phenylacetylglutamate	Acetylated Peptides
48497	stearoyl-arachidonoyl-glycerophosphoethanolamine (1)*	Lysolipid
1564	citrate	TCA Cycle
33161	2-methoxyacetaminophen glucuronide*	Drug
43400	2-piperidinone	Food Component/Plant
15142	allo-threonine	Glycine, Serine and Threonine Metabolism
566	phenylpyruvate	Phenylalanine Metabolism
43424	dimethyl sulfone	Chemical
53026	3,4-methyleneheptanoate	Food Component/Plant
52475	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	Plasmalogen
33422	gamma-glutamylphenylalanine	Gamma-glutamyl Amino Acid
53229	2-methylserine	Glycine, Serine and Threonine Metabolism
18368	cys-gly, oxidized	Glutathione Metabolism
52944	palmitoylcholine	Fatty Acid Metabolism (Acyl Choline)
48189	leucylglutamine*	Dipeptide
35428	tiglylcarnitine (C5:1-DC)	Leucine, Isoleucine and Valine Metabolism
32446	guanidinosuccinate	Guanidino and Acetamido Metabolism
1584	methyl indole-3-acetate	Food Component/Plant
2125	taurine	Methionine, Cysteine, SAM and Taurine Metabolism
36738	gamma-glutamylglutamate	Gamma-glutamyl Amino Acid
48434	N-acetylcitrulline	Urea cycle; Arginine and Proline Metabolism
48782	C-glycosyltryptophan	Tryptophan Metabolism
15443	glucuronate	Aminosugar Metabolism
567	lactose	Disaccharides and Oligosaccharides
39598	7-methylurate	Xanthine Metabolism
3141	betaine	Glycine, Serine and Threonine Metabolism
COMP ID	BIOCHEMICAL	SUB PATHWAY
1515	salicylate	Drug
37198	5alpha-pregnan-3beta,20alpha-diol disulfate	Steroid
35136	5-methyluridine (ribothymidine)	Pyrimidine Metabolism, Uracil containing
52467	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	Phosphatidylinositol (PI)
1642	caprate (10:0)	Medium Chain Fatty Acid
40730	imidazole propionate	Histidine Metabolism
57331	behenoyl dihydrosphingomyelin (d18:0/22:0)*	Sphingolipid Metabolism
43256	N-acetyl-3-methylhistidine*	Histidine Metabolism
39732	N-oleoyltaurine	Endocannabinoid
52431	1-palmitoleoylglycerol (16:1)*	Monoacylglycerol
35668	testosterone sulfate	Steroid
40703	prolylglycine	Dipeptide
32635	1-linoleoyl-GPE (18:2)*	Lysolipid
1125	isoleucine	Leucine, Isoleucine and Valine Metabolism
1669	4-hydroxyphenylpyruvate	Tyrosine Metabolism
35637	cysteinylglycine	Glutathione Metabolism
37185	5alpha-androstan-3alpha,17beta-diol monosulfate (2)	Steroid
18357	glycylvaline	Dipeptide
22053	3-hydroxydecanoate	Fatty Acid, Monohydroxy
32452	propionylcarnitine (C3)	Fatty Acid Metabolism (also BCAA Metabolism)
57521	dihomo-linolenoylcarnitine (20:3n3 or 6)*	Fatty Acid Metabolism(Acyl Carnitine)
52947	4-HDoHE	Fatty Acid, Monohydroxy
59	histidine	Histidine Metabolism
44526	3-methyl-2-oxobutyrate	Leucine, Isoleucine and Valine Metabolism
38102	oleoyl ethanolamide	Endocannabinoid
52990	suberoylcarnitine (C8-DC)	Fatty Acid Metabolism(Acyl Carnitine)
45968	1-oleoyl-GPG (18:1)*	Lysolipid
37112	chiro-inositol	Inositol Metabolism
5086	dimethylglycine	Glycine, Serine and Threonine Metabolism
46539	N-acetylglucosamine/N-acetylgalactosamine	Aminosugar Metabolism
37252	norfluoxetine	Drug
18335	quinate	Food Component/Plant
4968	alpha-ketobutyrate	Methionine, Cysteine, SAM and Taurine Metabolism
48431	tetrahydrodeoxycorticosterone disulfate	Steroid
1301	lysine	Lysine Metabolism
443	aspartate	Alanine and Aspartate Metabolism
52690	1-linoleoyl-GPA (18:2)*	Lysophospholipid
1284	threonine	Glycine, Serine and Threonine Metabolism
27672	3-indoxyl sulfate	Tryptophan Metabolism
52436	tricosanoyl sphingomyelin (d18:1/23:0)*	Sphingolipid Metabolism
34383	2-myristoylglycerol (14:0)	Monoacylglycerol
48693	3-acetylphenol sulfate	Chemical
37187	5alpha-androstan-3beta,17alpha-diol disulfate	Steroid
37530	leukotriene B4	Eicosanoid
19266	2-arachidonoylglycerol (20:4)	Monoacylglycerol
1299	tyrosine	Tyrosine Metabolism
18474	estrone 3-sulfate	Steroid
53231	thioproline	Chemical
43264	3-hydroxybutyrylcarnitine (1)	Fatty Acid Metabolism(Acyl Carnitine)
35177	erucamide	Fatty Acid, Amide
19265	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	Phosphatidylserine (PS)
606	uridine	Pyrimidine Metabolism, Uracil containing
43582	5-(galactosylhydroxy)-L-lysine	Lysine Metabolism
48141	2-keto-3-deoxy-gluconate	Food Component/Plant
2132	citrulline	Urea cycle; Arginine and Proline Metabolism
18494	taurochenodeoxycholate	Primary Bile Acid Metabolism
37431	N-methylproline	Urea cycle; Arginine and Proline Metabolism
41888	succinimide	Chemical
36776	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	Sterol
48152	glucose	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism
35160	oleoylcarnitine (C18:1)	Fatty Acid Metabolism(Acyl Carnitine)
607	trans-urocanate	Histidine Metabolism
542	3-hydroxybutyrate (BHBA)	Ketone Bodies
1481	inositol 1-phosphate (I1P)	Inositol Metabolism
39586	pseudoephedrine	Drug
1498	N6,N6,N6-trimethyllysine	Lysine Metabolism
54	tryptophan	Tryptophan Metabolism
43231	6-oxopiperidine-2-carboxylate	Lysine Metabolism
32827	andro steroid monosulfate (1)*	Steroid
37207	androstenediol (3alpha, 17alpha) monosulfate (2)	Steroid
52726	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	Phosphatidylinositol (PI)
45970	1-palmitoyl-GPG (16:0)*	Lysophospholipid
12261	taurodeoxycholate	Secondary Bile Acid Metabolism
57689	N('1)-acetylspermidine	Polyamine Metabolism
12129	beta-hydroxyisovalerate	Leucine, Isoleucine and Valine Metabolism
40007	carboxyethyl-GABA	Glutamate Metabolism
21184	1-oleoylglycerol (18:1)	Monoacylglycerol
48460	propyl 4-hydroxybenzoate sulfate	Benzoate Metabolism
34401	5-acetylamino-6-formylamino-3-methyluracil	Xanthine Metabolism
15958	phenylacetate	Phenylalanine Metabolism
22154	bradykinin	Polypeptide
32377	N-acetylneuraminate	Aminosugar Metabolism
1645	laurate (12:0)	Medium Chain Fatty Acid
48491	sphingomyelin (d18:1/20:1, d18:2/20:0)*	Sphingolipid Metabolism
34406	valerylcarnitine	Fatty Acid Metabolism(Acyl Carnitine)
15676	3-methyl-2-oxovalerate	Leucine, Isoleucine and Valine Metabolism
33943	N-acetylglutamine	Glutamate Metabolism
37097	tryptophan betaine 	Tryptophan Metabolism
47403	17alpha-hydroxypregnanolone glucuronide	Steroid
1121	margarate (17:0)	Long Chain Fatty Acid
52473	gamma-tocopherol/beta-tocopherol	Tocopherol Metabolism
44688	maltotriose	Glycogen Metabolism
38754	gamma-carboxyglutamate	Glutamate Metabolism
35436	hexanoylglycine	Fatty Acid Metabolism(Acyl Glycine)
18394	theophylline	Xanthine Metabolism
44656	isovalerate	Leucine, Isoleucine and Valine Metabolism
48392	palmitoyl-arachidonoyl-glycerophosphocholine (2)*	Lysolipid
52478	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	Plasmalogen
42398	1-stearoyl-GPE (18:0)	Lysophospholipid
48433	N-formylphenylalanine	Tyrosine Metabolism
46548	3-methylglutarylcarnitine (2)	Leucine, Isoleucine and Valine Metabolism
57664	N-oleoylserine	Endocannabinoid
15365	glycerol 3-phosphate	Glycerolipid Metabolism
52447	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	Phosphatidylethanolamine (PE)
36845	o-cresol sulfate	Benzoate Metabolism
57591	beta-cryptoxanthin	Food Component/Plant
514	cytidine	Pyrimidine Metabolism, Cytidine containing
1107	allantoin	Purine Metabolism, (Hypo)Xanthine/Inosine containing
43258	acisoga	Polyamine Metabolism
1598	tigloylglycine	Leucine, Isoleucine and Valine Metabolism
46225	pyroglutamine*	Glutamate Metabolism
40456	fluvoxamine	Drug
48698	6-hydroxyindole sulfate	Chemical
57687	N-trimethyl 5-aminovalerate	Lysine Metabolism
53223	palmitoleoylcarnitine (C16:1)*	Fatty Acid Metabolism(Acyl Carnitine)
36713	N6-carboxymethyllysine	Advanced Glycation End-product
43333	carboxyibuprofen	Drug
52689	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	Plasmalogen
33230	1-palmitoleoyl-GPC (16:1)*	Lysophospholipid
15053	sorbitol	Fructose, Mannose and Galactose Metabolism
33959	N-acetyltryptophan	Tryptophan Metabolism
1558	4-acetamidobutanoate	Polyamine Metabolism
57406	palmitoleoyl-arachidonoyl-glycerol (16:1/20:4) [2]*	Diacylglycerol
32489	caproate (6:0)	Medium Chain Fatty Acid
52674	nervonate (24:1n9)*	Long Chain Fatty Acid
42374	2-aminobutyrate	Glutathione Metabolism
35127	pro-hydroxy-pro	Urea cycle; Arginine and Proline Metabolism
33947	gamma-glutamyltryptophan	Gamma-glutamyl Amino Acid
48383	palmitoyl-arachidonoyl-glycerophosphocholine (1)*	Lysolipid
54957	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*	Diacylglycerol
38306	metformin	Drug
46552	allo-isoleucine	Leucine, Isoleucine and Valine Metabolism
52474	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lysoplasmalogen
37536	12-HETE	Eicosanoid
42002	lanthionine	Chemical
15772	ribitol	Pentose Metabolism
33953	N-acetylarginine	Urea cycle; Arginine and Proline Metabolism
54923	beta-citrylglutamate	Glutamate Metabolism
22176	cysteine s-sulfate	Methionine, Cysteine, SAM and Taurine Metabolism
52975	glycodeoxycholate sulfate	Secondary Bile Acid Metabolism
39796	1,1-kestotetraose	Food Component/Plant
2761	thyroxine	Tyrosine Metabolism
18477	glycodeoxycholate	Secondary Bile Acid Metabolism
1493	ornithine	Urea cycle; Arginine and Proline Metabolism
35126	phenylacetylglutamine	Acetylated Peptides
57478	sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	Sphingolipid Metabolism
53237	sedoheptulose	Pentose Metabolism
48388	stearoyl-linoleoyl-glycerophosphocholine (2)*	Lysolipid
35103	1-dihomo-linoleoylglycerol (20:2)	Fatty Acid, Keto
37186	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	Steroid
27731	ribonate	Pentose Metabolism
22137	homoarginine	Urea cycle; Arginine and Proline Metabolism
46165	3-methyl catechol sulfate (1)	Benzoate Metabolism
35854	threitol	Pentose Metabolism
40173	L-urobilin	Hemoglobin and Porphyrin Metabolism
587	gluconate	Food Component/Plant
33935	piperine	Food Component/Plant
1604	urate	Purine Metabolism, (Hypo)Xanthine/Inosine containing
47898	1-pentadecanoylglycerol (15:0)	Monoacylglycerol
57482	sphingomyelin (d18:2/23:1)*	Sphingolipid Metabolism
27719	galactonate	Fructose, Mannose and Galactose Metabolism
31850	butyrylglycine	Fatty Acid Metabolism (also BCAA Metabolism)
20694	oxalate (ethanedioate)	Ascorbate and Aldarate Metabolism
35114	7-methylguanine	Purine Metabolism, Guanine containing
39835	N-palmitoyltaurine	Endocannabinoid
15140	kynurenine	Tryptophan Metabolism
34534	laurylcarnitine (C12)	Fatty Acid Metabolism(Acyl Carnitine)
43470	3-hydroxycotinine glucuronide	Tobacco Metabolite
34456	gamma-glutamylisoleucine*	Gamma-glutamyl Amino Acid
22001	3-hydroxyoctanoate	Fatty Acid, Monohydroxy
15765	ethylmalonate	Leucine, Isoleucine and Valine Metabolism
38609	pantoprazole	Drug
22138	homocitrulline	Urea cycle; Arginine and Proline Metabolism
40479	2-oxindole-3-acetate	Food Component/Plant
32397	3-hydroxy-2-ethylpropionate	Leucine, Isoleucine and Valine Metabolism
41374	phenylalanylalanine	Dipeptide
42592	cimetidine	Drug
33420	gamma-tocopherol	Tocopherol Metabolism
1432	2-hydroxyphenylacetate	Tyrosine Metabolism
35157	N6-carbamoylthreonyladenosine	Purine Metabolism, Adenine containing
36098	4-vinylphenol sulfate	Benzoate Metabolism
57370	lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	Ceramides
54968	linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*	Diacylglycerol
48448	3-hydroxypyridine sulfate	Chemical
33418	delta-tocopherol	Tocopherol Metabolism
48255	arabonate/xylonate	Pentose Metabolism
52716	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	Plasmalogen
45413	O-sulfo-L-tyrosine	Chemical
38140	1-hydroxy-2-naphthalenecarboxylate	Drug
54961	oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*	Diacylglycerol
37482	17alpha-hydroxypregnenolone 3-sulfate	Steroid
31675	2-pyrrolidinone	Chemical
57517	ximenoylcarnitine (C26:1)*	Fatty Acid Metabolism(Acyl Carnitine)
38271	pristanate	Fatty Acid, Branched
1419	5-methylthioadenosine (MTA)	Polyamine Metabolism
33955	1-palmitoyl-GPC (16:0)	Lysophospholipid
52633	palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*	Diacylglycerol
37174	21-hydroxypregnenolone monosulfate (1)	Steroid
