PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
799	1,5-anhydroglucitol (1,5-AG)	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	20675	LC/MS Neg	100000580	802	163.06119	154-58-5	64960	C07326	HMDB02712
2920	1,6-anhydroglucose	Xenobiotics	Food Component/Plant	21049	GC/MS	100000939	1679.5	204.1	498-07-7	2724705		HMDB00640
2818	1,7-dimethylurate	Xenobiotics	Xanthine Metabolism	34400	LC/MS Neg	100001399	1578.6	195.05236	33868-03-0	91611	C16356	HMDB11103
1028	10-heptadecenoate (17:1n7)	Lipid	Long Chain Fatty Acid	33971	LC/MS Neg	100001278	5555	267.23295	29743-97-3	5312435		HMDB60038
1038	10-nonadecenoate (19:1n9)	Lipid	Long Chain Fatty Acid	33972	LC/MS Neg	100001277	5780	295.26425	73033-09-7	5312513		HMDB13622
1017	10-undecenoate (11:1n1)	Lipid	Medium Chain Fatty Acid	32497	LC/MS Neg	100001197	5085.8	183.13905	1333-28-4			
1832	11-dehydrocorticosterone	Lipid	Steroid	39779	LC/MS Pos	100002781	4533.8	345.20604	72-23-1			
1897	11-ketoetiocholanolone glucuronide	Lipid	Steroid	47135	LC/MS Neg	100005402	4280	479.22865	17181-16-7			
1908	11-ketoetiocholanolone sulfate	Lipid	Steroid	38167	LC/MS Neg	100002125	4420	383.15338				
1302	12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	38395	LC/MS Neg	62	5137	313.23843	263399-35-5	10236635	C14829	HMDB04705
1292	13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	37752	LC/MS Neg	100002196	5275	295.22825		43013		
1123	13-methylmyristic acid	Lipid	Fatty Acid, Branched	38293	LC/MS Neg	100002344	5499	241.2173	2485-71-4	151014		
1126	15-methylpalmitate	Lipid	Fatty Acid, Branched	38768	LC/MS Neg	100002945	5695	269.24868		17903417		
1840	16a-hydroxy DHEA 3-sulfate	Lipid	Steroid	38168	LC/MS Neg	100002126	4240	383.15338				
1287	16-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	39609	LC/MS Neg	100002953	5236.2	271.22786	506-13-8	10466	C18218	HMDB06294
1901	17alpha-hydroxypregnanolone glucuronide	Lipid	Steroid	47403	LC/MS Neg	100005418	5071.9	509.2756				
1824	17-alpha-hydroxyprogesterone	Lipid	Steroid	5969	LC/MS Neg	69	5220	329.21222	68-96-2	6238	C01176	HMDB00374
1129	17-methylstearate	Lipid	Fatty Acid, Branched	38296	LC/MS Neg	100002356	5993	297.2799	2724-59-6	3083779		
1632	1-arachidonoyl-GPA (20:4)	Lipid	Lysolipid	46325	LC/MS Neg	100004442	5499	457.23606	799268-65-8			
1571	1-arachidonoyl-GPC (20:4)*	Lipid	Lysolipid	33228	LC/MS Pos	100001551	5552	544.33977			C05208	HMDB10395
1600	1-arachidonoyl-GPE (20:4)*	Lipid	Lysolipid	35186	LC/MS Neg	100001571	5874	500.27826		42607465		HMDB11517
1621	1-arachidonoyl-GPI (20:4)*	Lipid	Lysolipid	34214	LC/MS Neg	100001654	5482	619.28888				HMDB61690
1678	1-arachidonylglycerol (20:4)	Lipid	Monoacylglycerol	34397	LC/MS Neg	100001433	6450	303.23293	35474-99-8	5282281	C13857	HMDB11572
1685	1-dihomo-linolenylglycerol (20:3)	Lipid	Monoacylglycerol	48341	LC/MS Neg	100006121	6220	305.24858				
1200	1-dihomo-linoleoylglycerol (20:2)	Lipid	Fatty Acid, Keto	35103	LC/MS Neg	100001483	6800	307.26423				
3254	1-hydroxy-2-naphthalenecarboxylate	Xenobiotics	Drug	38140	LC/MS Neg	100002394	3930	187.04006	86-48-6	6844	C03203	
1677	1-linolenoylglycerol (18:3)	Lipid	Monoacylglycerol	34393	LC/MS Neg	100001435	6214	277.21728		53480978		HMDB11569
1561	1-linolenoyl-GPC (18:3)*	Lipid	Lysolipid	45951	LC/MS Pos	100005350	5506	518.32412				
1675	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	27447	LC/MS Neg	100001040	6477	279.23293	2277-28-3	5283469		
1647	1-linoleoyl-GPA (18:2)*	Lipid	Lysolipid	52690	LC/MS Neg	100009082	5483	433.23606				HMDB07856
1559	1-linoleoyl-GPC (18:2)	Lipid	Lysolipid	34419	LC/MS Pos	100001395	5575.9	520.33977		11988421	C04100	HMDB10386
1596	1-linoleoyl-GPE (18:2)*	Lipid	Lysolipid	32635	LC/MS Neg	100001570	5900	476.27826		52925130		HMDB11507
1617	1-linoleoyl-GPI (18:2)*	Lipid	Lysolipid	36594	LC/MS Neg	100001778	5494	595.28888				
55	1-methylhistidine	Amino Acid	Histidine Metabolism	30460	LC/MS Neg	100001051	1227	168.07785	332-80-9	92105	C01152	HMDB00001
70	1-methylimidazoleacetate	Amino Acid	Histidine Metabolism	32350	LC/MS Pos	100001208	833	141.06586	2625-49-2	75810	C05828	HMDB02820
2656	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	27665	LC/MS Pos	55	691.3	137.07094	1005-24-9	10129985	C02918	HMDB00699
2815	1-methylurate	Xenobiotics	Xanthine Metabolism	34395	LC/MS Pos	100001400	1860.5	183.05127	708-79-2	69726	C16359	HMDB03099
2821	1-methylxanthine	Xenobiotics	Xanthine Metabolism	34389	LC/MS Neg	100001405	1568.8	165.0418	6136-37-4	80220	C16358	HMDB10738
1664	1-myristoylglycerol (14:0)	Lipid	Monoacylglycerol	35625	LC/MS Neg	100001618	6353.3	227.20163	75685-84-6	79050	C01885	HMDB11561
1673	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21184	LC/MS Neg	100000924	6300	281.24858	111-03-5	5283468		HMDB11567
1556	1-oleoyl-GPC (18:1)	Lipid	Lysolipid	48258	LC/MS Pos	100001272	5700	522.35542	19420-56-5	16081932		HMDB02815
1592	1-oleoyl-GPE (18:1)	Lipid	Lysolipid	35628	LC/MS Neg	100001569	6125.1	478.29391	89576-29-4	9547071		HMDB11506
1639	1-oleoyl-GPG (18:1)*	Lipid	Lysolipid	45968	LC/MS Neg	100005716	5610	509.28849				
1615	1-oleoyl-GPI (18:1)*	Lipid	Lysolipid	36602	LC/MS Neg	100001777	5599	597.30453				
1624	1-oleoyl-GPS (18:1)	Lipid	Lysolipid	19260	LC/MS Neg	100000630	5607	522.28374		9547099		
1687	1-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	52431	LC/MS Neg	100008952	6094	253.21727				
1550	1-palmitoleoyl-GPC (16:1)*	Lipid	Lysolipid	33230	LC/MS Pos	100001511	5525	494.32412		24779461		HMDB10383
1445	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)	Lipid	Phospholipid Metabolism	52459	LC/MS Polar	100008914	870	826.56034	35418-58-7	10747814		
1455	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	Lipid	Phospholipid Metabolism	52467	LC/MS Polar	100008993	892	857.51855				
1440	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)*	Lipid	Phospholipid Metabolism	52460	LC/MS Polar	1537	870	802.56018	40811-94-7	5287971		
1453	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	Lipid	Phospholipid Metabolism	52450	LC/MS Polar	1528	910	833.51845				
1438	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)*	Lipid	Phospholipid Metabolism	52461	LC/MS Polar	1539	853	804.57604	26853-31-6;26853-31-6	6436017		
1668	1-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	21127	LC/MS Neg	100000827	6400	255.23293	542-44-9	14900		HMDB31074
1629	1-palmitoyl-GPA (16:0)	Lipid	Lysolipid	34428	LC/MS Neg	100001445	5600	409.23606	17618-08-5	6419701	C04036	HMDB00327
1548	1-palmitoyl-GPC (16:0)	Lipid	Lysolipid	33955	LC/MS Pos	100001263	5670	496.33977	17364-16-8	86554		HMDB10382
1587	1-palmitoyl-GPE (16:0)	Lipid	Lysolipid	35631	LC/MS Neg	100001567	6057.2	452.27826		9547069		HMDB11503
1610	1-palmitoyl-GPI (16:0)*	Lipid	Lysolipid	35305	LC/MS Neg	100001655	5564	571.28888				HMDB61695
1667	1-pentadecanoylglycerol (15:0)	Lipid	Monoacylglycerol	47898	LC/MS Neg	100001431	6200	241.21728		190750		
1439	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	Lipid	Phospholipid Metabolism	42450	LC/MS Polar	100001869	850	854.59091	35418-59-8	16219824		
1463	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	Lipid	Phospholipid Metabolism	52447	LC/MS Polar	100008977	756	766.53922		5289133		
1452	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Lipid	Phospholipid Metabolism	52449	LC/MS Polar	100000616	870	885.54948				
1446	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Lipid	Phospholipid Metabolism	52452	LC/MS Polar	100008980	850	830.59165				
1470	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	Lipid	Phospholipid Metabolism	52446	LC/MS Polar	100008976	750	742.5392		9546749		
1671	1-stearoylglycerol (18:0)	Lipid	Monoacylglycerol	21188	GC/MS	100000932	2186.6	399.4	123-94-4;31566-31-1	24699	D01947	HMDB31075
1554	1-stearoyl-GPC (18:0)	Lipid	Lysolipid	33961	LC/MS Pos	100001271	5847	524.37107	19420-57-6	497299		HMDB10384
1590	1-stearoyl-GPE (18:0)	Lipid	Lysolipid	42398	LC/MS Neg	100001461	6514	480.30956	69747-55-3	9547068		HMDB11130
1637	1-stearoyl-GPG (18:0)	Lipid	Lysolipid	34437	LC/MS Neg	100001462	5816	511.30414				
1613	1-stearoyl-GPI (18:0)	Lipid	Lysolipid	19324	LC/MS Neg	100000656	5794.3	599.32018	796963-93-4			HMDB61696
1623	1-stearoyl-GPS (18:0)*	Lipid	Lysolipid	45966	LC/MS Neg	100004327	5800	524.29939		9547101		
2923	2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant	38276	LC/MS Polar	100002417	1050	133.05063	1756-18-9	677	C04039	HMDB12141
1800	21-hydroxypregnenolone disulfate	Lipid	Steroid	46115	LC/MS Neg	100001999	3935	245.06711	1164-98-3	134595	C05485	HMDB04026
1797	21-hydroxypregnenolone monosulfate (1)	Lipid	Steroid	37174	LC/MS Neg	100002003	4624	411.18468	88378-34-1	174681		
1798	21-hydroxypregnenolone monosulfate (2)	Lipid	Steroid	37175	LC/MS Neg	100002004	4711	411.18468		10670474		
80	2-aminoadipate	Amino Acid	Lysine Metabolism	6146	LC/MS Pos	381	793.3	162.07609	542-32-5;1118-90-7	469	C00956	HMDB00510
309	2-aminobutyrate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	42374	LC/MS Pos	1128	766.7	104.07061	1492-24-6	439691	C02261	HMDB00650
1193	2-aminoheptanoate	Lipid	Fatty Acid, Amino	43761	LC/MS Pos	100004542	2530	146.11756	1115-90-8	227939		
1198	2-aminooctanoate	Lipid	Fatty Acid, Amino	43343	LC/MS Pos	100004227	3355	160.13321	644-90-6	69522		HMDB00991
3532	2-aminophenol sulfate	Xenobiotics	Chemical	43266	LC/MS Neg	100004322	1677	188.0023		181670		HMDB61116
1679	2-arachidonoylglycerol (20:4)	Lipid	Monoacylglycerol	19266	LC/MS Neg	100000584	6170	303.23293	53847-30-6	5282280	C13856	HMDB04666
2606	2'-deoxyuridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	1412	LC/MS Neg	536	1585.5	111.01997	951-78-0	13712	C00526	HMDB00012
2790	2-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	36847	LC/MS Neg	100001809	3416	201.0227				
276	2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	36746	LC/MS Neg	100001541	1800	131.07136	488-15-3	164623		HMDB00317
3237	2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug	33173	LC/MS Neg	100001791	1674	246.00778				
1143	2-hydroxyadipate	Lipid	Fatty Acid, Dicarboxylate	31934	LC/MS Polar	100001153	3000	161.04554	18294-85-4	193530	C02360	HMDB00321
310	2-hydroxybutyrate (AHB)	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	21044	LC/MS Polar	100000933	1258	103.04006	3347-90-8	440864	C05984	HMDB00008
1266	2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	42489	LC/MS Neg	100004089	4840	187.13396	5393-81-7	21488		
1140	2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate	37253	LC/MS Polar	100002070	3352.8	147.02989	40951-21-1	43	C02630	HMDB00606
2752	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	18281	LC/MS Neg	1869	2184	194.04588	487-54-7	10253	C07588	HMDB00840
3248	2-hydroxyibuprofen	Xenobiotics	Drug	43330	LC/MS Pos	100004169	4470	205.12231	51146-55-5			
3553	2-hydroxyisobutyrate	Xenobiotics	Chemical	22030	GC/MS	100000748	1107.5	130.9	594-61-6	11671		HMDB00729
1265	2-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22036	LC/MS Neg	100000743	3736.8	159.10266	617-73-2	94180		HMDB02264
1268	2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	35675	LC/MS Neg	100001579	5511.2	271.22786	764-67-0	92836		HMDB31057
182	2-hydroxyphenylacetate	Amino Acid	Phenylalanine and Tyrosine Metabolism	1432	LC/MS Neg	235	2164.6	151.04006	614-75-5	11970	C05852	HMDB00669
1269	2-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	17945	LC/MS Neg	1239	5695	299.25917	629-22-1	69417	C03045	
2929	2-isopropylmalate	Xenobiotics	Food Component/Plant	15667	LC/MS Neg	100000409	725	175.06119	3237-44-3	77	C02504	HMDB00402
1676	2-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	32506	LC/MS Neg	100000987	6250	279.23293	3443-82-1	5365676		HMDB11538
3244	2-methoxyacetaminophen glucuronide*	Xenobiotics	Drug	33161	LC/MS Pos	100001795	2059.2	375.13981				
3238	2-methoxyacetaminophen sulfate*	Xenobiotics	Drug	47031	LC/MS Neg	100001793	1949	260.02343				
3629	2-methoxyresorcinol sulfate	Xenobiotics	Chemical	48445	LC/MS Neg	100006184	1863	218.99688	1446269-78-8			
271	2-methylbutyrylcarnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	45095	LC/MS Pos	100001509	2465	246.16999	31023-25-3	6426901		HMDB00378
1208	2-methylmalonyl carnitine	Lipid	Fatty Acid Synthesis	35482	LC/MS Pos	100001596	1552.7	262.12852	149181-64-6	53481628		HMDB13133
1665	2-myristoylglycerol (14:0)	Lipid	Monoacylglycerol	34383	LC/MS Neg	100001408	6230	227.20163	27214-38-6	137938		
1674	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21232	LC/MS Neg	100000943	6200	281.24858	3443-84-3	5319879		
2930	2-oxindole-3-acetate	Xenobiotics	Food Component/Plant	40479	LC/MS Pos	100003109	3208	192.06552	2971-31-5	3080590		
1688	2-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	52432	LC/MS Neg	100008953	6016	253.21727				
1551	2-palmitoleoyl-GPC (16:1)*	Lipid	Lysolipid	35819	LC/MS Pos	100001561	5490	494.32412				
1669	2-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	33419	LC/MS Pos	100001048	5791	348.31084	23470-00-0	123409		HMDB11533
1549	2-palmitoyl-GPC (16:0)*	Lipid	Lysolipid	35253	LC/MS Pos	100001562	5610	496.33977		15061532		HMDB61702
2837	2-piperidinone	Xenobiotics	Food Component/Plant	43400	LC/MS Pos	100004295	2047	100.07569	675-20-7	12665		
3256	2-propylpentanoate (valproate)	Xenobiotics	Drug	22290	LC/MS Neg	100000779	3885.6	143.10775	99-66-1	3121	C07185	HMDB01877
3512	2-pyrrolidinone	Xenobiotics	Chemical	31675	LC/MS Pos	100001081	1651.8	86.06004	616-45-5	12025		HMDB02039
1555	2-stearoyl-GPC (18:0)*	Lipid	Lysolipid	35255	LC/MS Pos	100001555	5777	524.37107		10208382		
1591	2-stearoyl-GPE (18:0)*	Lipid	Lysolipid	41220	LC/MS Neg	100003901	6350	480.30956				
172	3-(3-hydroxyphenyl)propionate	Amino Acid	Phenylalanine and Tyrosine Metabolism	35635	LC/MS Neg	100001624	1980	165.05571	621-54-5	91	C11457	HMDB00375
168	3-(3-hydroxyphenyl)propionate sulfate	Amino Acid	Phenylalanine and Tyrosine Metabolism	45415	LC/MS Neg	100005391	1294	245.01253	86321-32-6	187488		
122	3-(4-hydroxyphenyl)lactate	Amino Acid	Phenylalanine and Tyrosine Metabolism	32197	LC/MS Neg	240	1379	181.05063	6482-98-0	9378	C03672	HMDB00755
173	3-(4-hydroxyphenyl)propionate	Amino Acid	Phenylalanine and Tyrosine Metabolism	39587	LC/MS Neg	100002914	1670	165.05571	501-97-3	10394	C01744	HMDB02199
3239	3-(cystein-S-yl)acetaminophen*	Xenobiotics	Drug	34365	LC/MS Pos	100001797	1963	271.07471		5233914		
3240	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	Drug	45721	LC/MS Neg	2048	2094	311.07072	52372-86-8	83967		
2819	3,7-dimethylurate	Xenobiotics	Xanthine Metabolism	34399	LC/MS Neg	100001398	1418.2	195.05236	13087-49-5	83126	C16360	HMDB01982
2638	3-aminoisobutyrate	Nucleotide	Pyrimidine Metabolism, Thymine containing	1566	GC/MS	1114	1252.2	102	10569-72-9;214139-20-5	64956	C05145	HMDB03911
1958	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	43507	LC/MS Neg	100004182	5205	373.27482	5255-17-4	92997		HMDB00308
1162	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	Fatty Acid, Dicarboxylate	31787	LC/MS Neg	100001178	2840	239.09249	86879-39-2	123979		HMDB61112
2791	3-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	36848	LC/MS Neg	100001808	3530	201.0227			C14386	
277	3-hydroxy-2-ethylpropionate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	32397	LC/MS Polar	100001170	1443.3	117.05571	4374-62-3	188979		HMDB00396
1736	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	531	LC/MS Polar	112	2700	161.04555	503-49-1	1662	C03761	HMDB00355
1261	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	542	LC/MS Polar	254	1443.3	103.04007	625-72-9	441	C01089	HMDB00357
2831	3-hydroxycotinine glucuronide	Xenobiotics	Tobacco Metabolite	43470	LC/MS Neg	100004494	1745	367.11469	132929-88-5	183115		
1273	3-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	22053	LC/MS Neg	100000997	4634.7	187.13396	5561-87-5	26612		HMDB02203
2753	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	39600	LC/MS Neg	100002122	1687	194.04588	1637-75-8	450268		HMDB06116
285	3-hydroxyisobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1549	LC/MS Polar	111	1619.1	103.04007	2068-83-9	87	C06001	HMDB00336
1275	3-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	32457	LC/MS Neg	100001112	5175	215.16526	53941-38-1	94216		HMDB00387
1272	3-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22001	LC/MS Neg	100000773	3446	159.10266	88930-08-9	26613		HMDB01954
3630	3-hydroxypyridine sulfate	Xenobiotics	Chemical	48448	LC/MS Neg	100006098	1595.5	173.98665	1955-23-3			
1274	3-hydroxysebacate	Lipid	Fatty Acid, Monohydroxy	31943	LC/MS Neg	100001145	1282.1	217.10814	73141-46-5	3017884		HMDB00350
203	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	27672	LC/MS Neg	100000467	2222.2	212.0023	2642-37-7	10258		HMDB00682
2805	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	48763	LC/MS Neg	100006375	2163	218.99688				
2806	3-methoxycatechol sulfate (2)	Xenobiotics	Benzoate Metabolism	48752	LC/MS Neg	100006376	2200	218.99688				
144	3-methoxytyramine sulfate	Amino Acid	Phenylalanine and Tyrosine Metabolism	44618	LC/MS Neg	100004634	1722	246.04416				
142	3-methoxytyrosine	Amino Acid	Phenylalanine and Tyrosine Metabolism	12017	LC/MS Pos	1342	1771	212.09174	300-48-1	1670		HMDB01434
2780	3-methyl catechol sulfate (1)	Xenobiotics	Benzoate Metabolism	46165	LC/MS Neg	100004112	2790	203.00196				
2781	3-methyl catechol sulfate (2)	Xenobiotics	Benzoate Metabolism	46164	LC/MS Neg	100004110	2860	203.00196				
282	3-methyl-2-oxobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	44526	LC/MS Neg	100000936	1465	115.04006	3715-29-5	49	C00141	HMDB00019
270	3-methyl-2-oxovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	15676	LC/MS Neg	100000036	2064.2	129.05572	1460-34-0;51829-07-3	47	C00671	HMDB03736
253	3-methylglutaconate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	38667	LC/MS Pos	100002458	2600.9	127.03898	5746-90-7	1551553		HMDB00522
85	3-methylglutarylcarnitine (1)	Amino Acid	Lysine Metabolism	46547	LC/MS Pos	100005849	1870	290.15982		128145		HMDB00552
86	3-methylglutarylcarnitine (2)	Amino Acid	Lysine Metabolism	46548	LC/MS Pos	100005850	1960	290.15982		128145		HMDB00552
56	3-methylhistidine	Amino Acid	Histidine Metabolism	15677	LC/MS Neg	100000042	906.3	168.07785	368-16-1	64969	C01152	HMDB00479
2822	3-methylxanthine	Xenobiotics	Xanthine Metabolism	32445	LC/MS Pos	100001108	1911.6	167.05636	1076-22-8	70639	C16357	HMDB01886
175	3-phenylpropionate (hydrocinnamate)	Amino Acid	Phenylalanine and Tyrosine Metabolism	15749	LC/MS Neg	100000010	2860	149.0608	501-52-0	107	C05629	HMDB00764
2608	3-ureidopropionate	Nucleotide	Pyrimidine Metabolism, Uracil containing	3155	LC/MS Pos	1053	1090.6	133.06077	462-88-4	111	C02642	HMDB00026
374	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	1558	LC/MS Pos	1113	1721.3	146.08117	3025-96-5	18189	C02946	HMDB03681
3242	4-acetamidophenol	Xenobiotics	Drug	12032	LC/MS Neg	1383	2173.7	150.05605	103-90-2	1983	C06804	HMDB01859
3243	4-acetamidophenylglucuronide	Xenobiotics	Drug	15736	LC/MS Neg	100000043	1400	326.08814	120595-80-4	83944		HMDB10316
3241	4-acetaminophen sulfate	Xenobiotics	Drug	37475	LC/MS Neg	2049	1792	230.01287	10066-90-7;32113-41-0	83939	C06804	HMDB59911
3262	4-acetylphenol sulfate	Xenobiotics	Drug	44620	LC/MS Neg	100000711	2375	215.00196		4684006		
3146	4-allylphenol sulfate	Xenobiotics	Food Component/Plant	37181	LC/MS Neg	100001868	3805	213.0227				
1850	4-androsten-3alpha,17alpha-diol monosulfate (2)	Lipid	Steroid	37207	LC/MS Neg	100002026	4712	369.17411				
1851	4-androsten-3alpha,17alpha-diol monosulfate (3)	Lipid	Steroid	37209	LC/MS Neg	100002027	5180	369.17411				
1855	4-androsten-3beta,17beta-diol disulfate (1)	Lipid	Steroid	37202	LC/MS Neg	100001992	3740	224.06182		10634	C04295	HMDB03818
1856	4-androsten-3beta,17beta-diol disulfate (2)	Lipid	Steroid	37203	LC/MS Neg	100001994	4065	224.0624		10634	C04295	HMDB03818
1846	4-androsten-3beta,17beta-diol monosulfate (1)	Lipid	Steroid	37211	LC/MS Neg	100002028	4500	369.17411	521-17-5			HMDB03818
1847	4-androsten-3beta,17beta-diol monosulfate (2)	Lipid	Steroid	37210	LC/MS Neg	100002029	4500	369.17411				
2792	4-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	36099	LC/MS Neg	100001756	3580	201.0227	123-07-9		C13637	
379	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS Pos	100000096	1150	146.09241	463-003;463-00-3	500	C01035	HMDB03464
3624	4-hydroxychlorothalonil	Xenobiotics	Chemical	48441	LC/MS Neg	100006082	4427	244.90817	28343-61-5	34217		
3309	4-hydroxycoumarin	Xenobiotics	Drug	37445	LC/MS Neg	100002049	2470	161.02441	1076-38-6	54682930	C20414	
2754	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	35527	LC/MS Neg	100001423	1475	194.04588	2482-25-9	151012		HMDB13678
108	4-hydroxyphenylacetate	Amino Acid	Phenylalanine and Tyrosine Metabolism	541	LC/MS Neg	144	1361.1	151.04007	156-38-7	127	C00642	HMDB00020
121	4-hydroxyphenylpyruvate	Amino Acid	Phenylalanine and Tyrosine Metabolism	1669	LC/MS Neg	1141	1690.1	179.03498	156-39-8	979	C01179	HMDB00707
71	4-imidazoleacetate	Amino Acid	Histidine Metabolism	32349	LC/MS Pos	100001207	757	127.05021	645-65-8	96215	C02835	HMDB02024
