PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
1403	2-palmitoleoylglycerophosphocholine*	Lipid	Lysolipid	35819	LC/MS Pos	100001561	5490	494.32412				
1536	2-palmitoylglycerol (2-monopalmitin)	Lipid	Monoacylglycerol	33419	LC/MS Pos	100001048	5791	348.31084	23470-00-0	123409		HMDB11533
1401	2-palmitoylglycerophosphocholine*	Lipid	Lysolipid	35253	LC/MS Pos	100001562	5610	496.33977		15061532		HMDB61702
2684	2-piperidinone	Xenobiotics	Food Component/Plant	43400	LC/MS Pos	100004295	2047	100.07569	675-20-7	12665		
3090	2-propylpentanoate (valproate)	Xenobiotics	Drug	22290	LC/MS Neg	100000779	3885.6	143.10775	99-66-1	3121	C07185	HMDB01877
3335	2-pyrrolidinone	Xenobiotics	Chemical	31675	LC/MS Pos	100001081	1651.8	86.06004	616-45-5	12025		HMDB02039
1407	2-stearoylglycerophosphocholine*	Lipid	Lysolipid	35255	LC/MS Pos	100001555	5777	524.37107		10208382		
169	3-(3-hydroxyphenyl)propionate	Amino Acid	Phenylalanine and Tyrosine Metabolism	35635	LC/MS Neg	100001624	1980	165.05571	621-54-5	91	C11457	HMDB00375
120	3-(4-hydroxyphenyl)lactate	Amino Acid	Phenylalanine and Tyrosine Metabolism	32197	LC/MS Neg	240	1379	181.05063	6482-98-0	9378	C03672	HMDB00755
170	3-(4-hydroxyphenyl)propionate	Amino Acid	Phenylalanine and Tyrosine Metabolism	39587	LC/MS Neg	100002914	1670	165.05571	501-97-3	10394	C01744	HMDB02199
3073	3-(cystein-S-yl)acetaminophen*	Xenobiotics	Drug	34365	LC/MS Pos	100001797	1963	271.07471		5233914		
3074	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	Drug	45721	LC/MS Neg	2048	2094	311.07072	52372-86-8	83967		
2667	3,7-dimethylurate	Xenobiotics	Xanthine Metabolism	34399	LC/MS Neg	100001398	1418.2	195.05236	13087-49-5	83126	C16360	HMDB01982
165	3-[3-(sulfooxy)phenyl]propanoic acid	Amino Acid	Phenylalanine and Tyrosine Metabolism	45415	LC/MS Neg	100005391	1294	245.01253	86321-32-6	187488		
2489	3-aminoisobutyrate	Nucleotide	Pyrimidine Metabolism, Thymine containing	1566	GC/MS	1114	1252.2	102	10569-72-9;214139-20-5	64956	C05145	HMDB03911
1813	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	43507	LC/MS Neg	100004182	5205	373.27482	5255-17-4	92997		HMDB00308
1120	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	Fatty Acid, Dicarboxylate	31787	LC/MS Neg	100001178	2840	239.09249	86879-39-2	123979		HMDB61112
2640	3-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	36848	LC/MS Neg	100001808	3530	201.0227			C14386	
274	3-hydroxy-2-ethylpropionate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	32397	LC/MS Polar	100001170	1443.3	117.05571	4374-62-3	188979		HMDB00396
1591	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	531	LC/MS Polar	112	2700	161.04555	503-49-1	1662	C03761	HMDB00355
1219	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	542	LC/MS Polar	254	1443.3	103.04007	625-72-9	441	C01089	HMDB00357
2679	3-hydroxycotinine glucuronide	Xenobiotics	Tobacco Metabolite	43470	LC/MS Neg	100004494	1745	367.11469	132929-88-5	183115		
1231	3-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	22053	LC/MS Neg	100000997	4634.7	187.13396	5561-87-5	26612		HMDB02203
2602	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	39600	LC/MS Neg	100002122	1687	194.04588	1637-75-8	450268		HMDB06116
282	3-hydroxyisobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1549	LC/MS Polar	111	1619.1	103.04007	2068-83-9	87	C06001	HMDB00336
1233	3-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	32457	LC/MS Neg	100001112	5175	215.16526	53941-38-1	94216		HMDB00387
1230	3-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22001	LC/MS Neg	100000773	3446	159.10266	88930-08-9	26613		HMDB01954
3453	3-hydroxypyridine sulfate	Xenobiotics	Chemical	48448	LC/MS Neg	100006098	1595.5	173.98665	1955-23-3			
1232	3-hydroxysebacate	Lipid	Fatty Acid, Monohydroxy	31943	LC/MS Neg	100001145	1282.1	217.10814	73141-46-5	3017884		HMDB00350
200	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	27672	LC/MS Neg	100000467	2222.2	212.0023	2642-37-7	10258		HMDB00682
2654	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	48763	LC/MS Neg	100006375	2163	218.99688				
2655	3-methoxycatechol sulfate (2)	Xenobiotics	Benzoate Metabolism	48752	LC/MS Neg	100006376	2200	218.99688				
142	3-methoxytyramine sulfate	Amino Acid	Phenylalanine and Tyrosine Metabolism	44618	LC/MS Neg	100004634	1722	246.04416				
140	3-methoxytyrosine	Amino Acid	Phenylalanine and Tyrosine Metabolism	12017	LC/MS Pos	1342	1771	212.09174	300-48-1	1670		HMDB01434
2629	3-methyl catechol sulfate (1)	Xenobiotics	Benzoate Metabolism	46165	LC/MS Neg	100004112	2790	203.00196				
2630	3-methyl catechol sulfate (2)	Xenobiotics	Benzoate Metabolism	46164	LC/MS Neg	100004110	2860	203.00196				
279	3-methyl-2-oxobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	44526	LC/MS Neg	100000936	1465	115.04006	3715-29-5	49	C00141	HMDB00019
267	3-methyl-2-oxovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	15676	LC/MS Neg	100000036	2064.2	129.05572	1460-34-0;51829-07-3	47	C00671	HMDB03736
250	3-methylglutaconate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	38667	LC/MS Pos	100002458	2600.9	127.03898	5746-90-7	1551553		HMDB00522
83	3-methylglutarylcarnitine (1)	Amino Acid	Lysine Metabolism	46547	LC/MS Pos	100005849	1870	290.15982		128145		HMDB00552
84	3-methylglutarylcarnitine (2)	Amino Acid	Lysine Metabolism	46548	LC/MS Pos	100005850	1960	290.15982		128145		HMDB00552
55	3-methylhistidine	Amino Acid	Histidine Metabolism	15677	LC/MS Neg	100000042	906.3	168.07785	368-16-1	64969	C01152	HMDB00479
2670	3-methylxanthine	Xenobiotics	Xanthine Metabolism	32445	LC/MS Pos	100001108	1911.6	167.05636	1076-22-8	70639	C16357	HMDB01886
172	3-phenylpropionate (hydrocinnamate)	Amino Acid	Phenylalanine and Tyrosine Metabolism	15749	LC/MS Neg	100000010	2860	149.0608	501-52-0	107	C05629	HMDB00764
2460	3-ureidopropionate	Nucleotide	Pyrimidine Metabolism, Uracil containing	3155	LC/MS Pos	1053	1090.6	133.06077	462-88-4	111	C02642	HMDB00026
366	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	1558	LC/MS Pos	1113	1721.3	146.08117	3025-96-5	18189	C02946	HMDB03681
3076	4-acetamidophenol	Xenobiotics	Drug	12032	LC/MS Neg	1383	2173.7	150.05605	103-90-2	1983	C06804	HMDB01859
3077	4-acetamidophenylglucuronide	Xenobiotics	Drug	15736	LC/MS Neg	100000043	1400	326.08814	120595-80-4	83944		HMDB10316
3075	4-acetaminophen sulfate	Xenobiotics	Drug	37475	LC/MS Neg	2049	1792	230.01287	10066-90-7;32113-41-0	83939	C06804	HMDB59911
3096	4-acetylphenol sulfate	Xenobiotics	Drug	44620	LC/MS Neg	100000711	2375	215.00196		4684006		
2992	4-allylphenol sulfate	Xenobiotics	Food Component/Plant	37181	LC/MS Neg	100001868	3805	213.0227				
1705	4-androsten-3alpha,17alpha-diol monosulfate (2)	Lipid	Steroid	37207	LC/MS Neg	100002026	4712	369.17411				
1706	4-androsten-3alpha,17alpha-diol monosulfate (3)	Lipid	Steroid	37209	LC/MS Neg	100002027	5180	369.17411				
1710	4-androsten-3beta,17beta-diol disulfate (1)	Lipid	Steroid	37202	LC/MS Neg	100001992	3740	224.06182		10634	C04295	HMDB03818
1711	4-androsten-3beta,17beta-diol disulfate (2)	Lipid	Steroid	37203	LC/MS Neg	100001994	4065	224.0624		10634	C04295	HMDB03818
1701	4-androsten-3beta,17beta-diol monosulfate (1)	Lipid	Steroid	37211	LC/MS Neg	100002028	4547	369.17411	521-17-5			HMDB03818
1702	4-androsten-3beta,17beta-diol monosulfate (2)	Lipid	Steroid	37210	LC/MS Neg	100002029	4500	369.17411				
2641	4-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	36099	LC/MS Neg	100001756	3580	201.0227	123-07-9		C13637	
371	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS Pos	100000096	1150	146.09241	463-003;463-00-3	500	C01035	HMDB03464
3447	4-hydroxychlorothalonil	Xenobiotics	Chemical	48441	LC/MS Neg	100006082	4427	244.90817	28343-61-5	34217		
3143	4-hydroxycoumarin	Xenobiotics	Drug	37445	LC/MS Neg	100002049	2470	161.02441	1076-38-6	54682930	C20414	
2603	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	35527	LC/MS Neg	100001423	1475	194.04588	2482-25-9	151012		HMDB13678
119	4-hydroxyphenylpyruvate	Amino Acid	Phenylalanine and Tyrosine Metabolism	1669	LC/MS Neg	1141	1690.1	179.03498	156-39-8	979	C01179	HMDB00707
70	4-imidazoleacetate	Amino Acid	Histidine Metabolism	32349	LC/MS Pos	100001207	757	127.05021	645-65-8	96215	C02835	HMDB02024
238	4-methyl-2-oxopentanoate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	22116	LC/MS Neg	100000551	2170	129.05571	816-66-0	70	C00233	HMDB00695
2631	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	46146	LC/MS Neg	100004111	2665	203.00196				
3020	4-vinylguaiacol sulfate	Xenobiotics	Food Component/Plant	48442	LC/MS Neg	100006126	3354	229.01761				
2642	4-vinylphenol sulfate	Xenobiotics	Benzoate Metabolism	36098	LC/MS Neg	100001755	3320	199.00705	2628-17-3	6426766	C05627	HMDB04072
2487	5,6-dihydrothymine	Nucleotide	Pyrimidine Metabolism, Thymine containing	1418	LC/MS Pos	158	1654.2	129.06586	696-04-8	93556	C00906	HMDB00079
2454	5,6-dihydrouracil	Nucleotide	Pyrimidine Metabolism, Uracil containing	1559	LC/MS Pos	1125	1148	115.05021	504-07-4	649	C00429	HMDB00076
2672	5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34424	LC/MS Neg	100001403	985	197.06801	19893-78-8	88299	C16366	HMDB04400
2673	5-acetylamino-6-formylamino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34401	LC/MS Pos	100001402	1570	227.07748	85438-96-6	108214	C16365	HMDB11105
1754	5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate	Lipid	Steroid	47132	LC/MS Neg	100005396	4930	467.26504				
1722	5alpha-androstan-3alpha,17alpha-diol disulfate	Lipid	Steroid	37182	LC/MS Neg	100002007	4547	225.06965				
1716	5alpha-androstan-3alpha,17alpha-diol monosulfate	Lipid	Steroid	37183	LC/MS Neg	100002008	5208	371.18976				
1724	5alpha-androstan-3alpha,17beta-diol disulfate	Lipid	Steroid	37184	LC/MS Neg	100002017	4275	225.06965				
1715	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	Lipid	Steroid	37186	LC/MS Neg	100002018	4925	371.18976				
1755	5alpha-androstan-3alpha,17beta-diol monosulfate (2)	Lipid	Steroid	37185	LC/MS Neg	100006005	5080	371.18976				
1723	5alpha-androstan-3beta,17alpha-diol disulfate	Lipid	Steroid	37187	LC/MS Neg	100002021	4215	225.06965				
1725	5alpha-androstan-3beta,17beta-diol disulfate	Lipid	Steroid	37190	LC/MS Neg	100001987	3880	225.06965	571-20-0	242332	C12525	HMDB00493
1718	5alpha-androstan-3beta,17beta-diol monosulfate (2)	Lipid	Steroid	37192	LC/MS Neg	100002024	4685	371.18976				
1672	5alpha-pregnan-3(alpha or beta),20beta-diol disulfate	Lipid	Steroid	46172	LC/MS Neg	100002015	4310	239.0853		5127902		
1671	5alpha-pregnan-3beta,20alpha-diol disulfate	Lipid	Steroid	37198	LC/MS Neg	100001988	3962	239.0853				
1668	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	Lipid	Steroid	37200	LC/MS Neg	100002014	5060	399.22106				
1665	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	Lipid	Steroid	37196	LC/MS Neg	100002009	5180	399.22106				
978	5-dodecenoate (12:1n7)	Lipid	Medium Chain Fatty Acid	33968	LC/MS Neg	100001232	5224	197.1547	2430-94-6	5312378		HMDB00529
1320	5-HEPE	Lipid	Eicosanoid	46297	LC/MS Neg	100002135	5316	317.21221	83952-40-3	6439678		HMDB05081
1326	5-HETE	Lipid	Eicosanoid	37372	LC/MS Neg	100002137	5382	319.22786	73307-52-5	5280733	C04805	HMDB11134
